Family,Cluster
12aHSDH%GENOME015584_936,0
12aHSDH%GENOME077010_272,0
12aHSDH%GENOME136792_1072,1
12aHSDH%GENOME187328_883,2
12aHSDH%GENOME211747_1057,2
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,3
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,2
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,3
12aHSDH%WP_103229430_1_SDR_family_NAD(P)-dependent_oxidoreductase__Clostridium_sp__chh4-2_,3
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,4
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,1
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,3
12bHSDH%GENOME225741_180,2
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,2
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,2
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,2
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,3
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,2
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,4
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,1
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,3
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,0
3aHSDH%GENOME060426_131,2
3aHSDH%GENOME084620_3418,5
3aHSDH%GENOME084674_3322,2
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,2
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,5
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,2
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,3
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,6
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,6
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,4
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,2
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,3
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,4
3aHSDH%WP_117562420_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterocloster_aldenensis_,3
3aHSDH%WP_377204125_1_MULTISPECIES__SDR_family_oxidoreductase__unclassified_Pseudarthrobacter_,3
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,6
3bHSDH%GENOME124823_1686,1
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,0
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,0
5AR%GENOME012336_2253,2
5AR%GENOME013886_753,4
5AR%GENOME021742_2120,6
5AR%GENOME078645_81,0
5AR%GENOME084343_2181,0
5AR%GENOME086572_2986,2
5AR%GENOME107567_81,6
5AR%GENOME140582_2251,0
5AR%GENOME142018_414,4
5AR%GENOME170052_106,2
5AR%GENOME179594_130,3
5AR%GENOME179896_434,3
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,3
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,2
5AR%MBQ1253485_1_DUF1295_domain-containing_protein__Alistipes_sp__,2
5AR%MBR4740186_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,3
5AR%MCH5217706_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,6
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,6
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,2
5AR%WP_149192684_1_MULTISPECIES__DUF1295_domain-containing_protein__Bacteroidaceae_,4
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,3
5AR%WP_302729833_1_DUF1295_domain-containing_protein__Bacteroides_sp__ET489_,2
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,3
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,1
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,2
5BR%GENOME006024_4796,0
5BR%GENOME006521_2122,4
5BR%GENOME141824_1849,3
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,2
5BR%MBO4402754_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,6
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,2
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,3
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,3
5BR%MCD8287651_1_NADH_flavin_oxidoreductase__Porphyromonadaceae_bacterium_,5
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,0
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,0
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,3
5BR%MCR4591939_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,1
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,2
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,2
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,0
5BR%WP_149192683_1_MULTISPECIES__NADH_flavin_oxidoreductase__Bacteroidaceae_,0
5BR%WP_259010233_1_NADH_flavin_oxidoreductase__Parabacteroides_distasonis_,0
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,2
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,2
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,3
5BR%WP_300748828_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,3
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,2
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,3
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,3
7aHSDH%GENOME025100_397,3
7aHSDH%GENOME067790_2714,1
7aHSDH%GENOME086444_1757,4
7aHSDH%GENOME150027_3593,3
7aHSDH%MBE5948790_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,2
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,0
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,3
