Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,His_DCA,LCA,Lys_CDCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_UDCA,UDCA,isoCA_aMCA,isoLCA,isoalloLCA
12aHSDH%GENOME015584_936,-0.0023389834,-1.0,1.0,-1.0,0.96779245,-0.11995134,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-0.06020104,-1.0,1.0,0.44292068,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.95800316,-0.7930009,-0.48022223,-0.45266485,-1.0,0.46188718,0.96887755,-0.8903107,-0.25817424,1.0,1.0,-1.0,1.0,0.2891598,-0.2485956,0.73359907,0.27921003,0.9921332,1.0,-1.0,-0.8166296
12aHSDH%GENOME077010_272,-1.0,-1.0,1.0,-0.1441405,0.1346854,-0.49153328,0.8977619,0.1529008,1.0,1.0,-0.12347827,1.0,1.0,0.24640697,-1.0,0.8349644,-0.9343678,0.38052726,-0.019833751,-0.99380744,-0.6209354,-1.0,0.11916831,1.0,0.22730352,0.40408587,-0.81690335,-1.0,1.0,1.0,1.0,0.39079332,0.77454674,1.0,0.4696068,-0.25183925,0.12949035,-0.45683265,1.0,-1.0,-0.4573928,1.0,-1.0,-1.0
12aHSDH%GENOME126416_2228,0.35981753,0.98230547,-1.0,-0.276156,0.13150518,0.3071841,0.4264344,-0.6995941,-0.71894443,-0.8115113,0.84069115,-0.19103858,-0.5151993,0.6543092,0.18201351,-1.0,0.3338926,-0.63762754,0.5306143,0.08232507,0.68332756,0.66606313,-0.8593887,0.04822573,-1.0,-0.67045105,-0.07414066,-0.6049306,-1.0,-0.88774705,0.79407704,1.0,-0.6049839,-0.5194337,-0.15202218,-0.6433617,-0.5110182,-0.14248052,-0.8589077,0.11696696,-0.6228996,-0.93776345,1.0,1.0
12aHSDH%GENOME136792_1072,1.0,-0.6561089,1.0,0.600068,0.14192492,-1.0,-0.7784122,-0.75660175,0.75613296,0.64033264,0.00079155527,-0.90490514,-0.97764206,-0.13528529,-0.4862787,0.7252563,-0.19426945,0.797359,-1.0,-0.63327146,-0.14788163,-0.2525737,-0.13065349,-1.0,-0.7421806,0.8066969,0.42646682,0.35699305,-0.49714625,-0.8379445,-0.20689812,-0.21912824,0.22436379,-0.58651274,-0.052132137,0.71876186,1.0,-0.076503806,0.8545406,1.0,1.0,1.0,0.25017703,-0.5743736
12aHSDH%GENOME187328_883,0.20351547,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.7418365,1.0,0.64726037,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-0.5376803,0.9833551,-0.097320236,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.053772874,1.0,-1.0,-0.98250127,1.0,-1.0,-1.0,-0.15356494,-1.0,0.9100718,0.39771938
12aHSDH%GENOME211747_1057,0.04146327,0.08419762,-0.49644488,-1.0,-0.3997826,0.8308282,-1.0,0.5672181,-0.8123044,-0.91340077,0.3531965,-0.44530788,0.42076805,0.48205325,0.5559573,0.9260153,0.59049517,-0.8447546,0.21846826,-0.38687363,-0.97613555,-0.032849006,0.6374207,0.09512491,0.6644974,0.5497015,1.0,0.7809064,-0.763802,-0.12826836,-0.8546005,-0.5519523,-0.6722819,-1.0,-0.25491068,0.8155095,1.0,0.22367321,0.41003332,1.0,-0.06353649,0.029025268,0.057877045,0.22364648
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1.0,0.2485774,0.55922174,0.081862696,1.0,0.21755444,0.194903,-1.0,0.57436246,0.68407166,-0.04258464,-0.6379614,-0.55569863,-0.4194743,-0.4507145,-0.28326002,1.0,0.52550983,0.39385468,-0.5592723,0.70043457,-0.32705218,-0.28024307,1.0,-0.089705385,-0.7787941,0.5019228,-0.25679386,-1.0,-1.0,-1.0,-1.0,1.0,0.6188758,-0.28149202,0.6662456,0.36822173,0.4465514,-0.13598849,-0.75365096,0.20395774,0.2958214,-0.30449492,-0.004165376
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.6654519,-1.0,1.0,-1.0,1.0,0.25860605,0.5781963,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.0051904926,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.8898941,1.0,-0.29035962,-0.046090182,1.0,-1.0,1.0,1.0,0.12972559,0.8690054,1.0,1.0,-1.0,0.68394357,-0.14009807,-1.0,0.9035422,0.00044211652,0.11962205,1.0,-1.0,-0.45411474
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-1.0,-1.0,1.0,-1.0,0.68511695,-0.8226213,1.0,-0.646536,0.97386736,0.27006462,-1.0,1.0,1.0,0.42419577,-0.7962639,1.0,1.0,1.0,1.0,-0.96086824,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.08526708,-0.10658984,1.0,1.0,-0.8755104,-0.47762617,-0.66046834,-1.0,-0.3429254,0.09731725,0.019040115,0.4035633,-1.0,-0.705043
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-1.0,0.5041594,-1.0,0.7382156,-0.35007197,0.6586765,-0.52988964,1.0,-1.0,-1.0,-0.2617535,-0.8984564,-0.6772508,-0.11860905,0.82658964,0.51628625,0.27269316,-0.48338673,1.0,0.7158722,0.894256,0.16380233,1.0,0.567491,1.0,-1.0,-0.3757505,0.5137469,-1.0,-0.5777346,-0.1125289,0.07540735,-0.6846781,-0.28656784,0.7376744,-1.0,0.0740266,-0.4041428,-1.0,-0.41569433,-0.4583096,-1.0,0.85128206,0.0197854
