Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,His_DCA,LCA,Lys_CDCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_UDCA,UDCA,isoCA_aMCA,isoLCA,isoalloLCA
12aHSDH%GENOME015584_936,-7.962769e-05,-0.03512549,0.078200094,-0.0463603,0.032947253,-0.0040835897,0.035839155,-0.06515686,0.08443943,0.06107257,-0.06187112,0.05463417,0.076871336,-0.0020494673,-0.045392655,0.056348033,0.015078667,0.05683904,0.051638335,-0.04994234,-0.05345588,-0.050460078,-0.07231824,0.03261399,-0.026996698,-0.01634855,-0.015410394,-0.07127099,0.015724357,0.032984193,-0.030309487,-0.0087892115,0.056619614,0.0367959,-0.05655599,0.04798749,0.009844075,-0.008463118,0.02497444,0.009505347,0.033775903,0.03916457,-0.04077658,-0.027801108
12aHSDH%GENOME077010_272,-0.051875953,-0.046636686,0.042566694,-0.0049070786,0.0045851916,-0.01673362,0.030563151,0.005205312,0.046001192,0.037039846,-0.0042036595,0.04598912,0.044197828,0.00838861,-0.06857772,0.028425293,-0.031809352,0.012954563,-0.00067521463,-0.0338329,-0.02113895,-0.049108297,0.0040569324,0.042704646,0.007738257,0.013756585,-0.027810428,-0.054201983,0.084694445,0.07600109,0.062110625,0.0133040575,0.02636845,0.036359325,0.015987162,-0.008573544,0.004408333,-0.015552281,0.044564538,-0.041945964,-0.015571352,0.04786461,-0.063433915,-0.08996582
12aHSDH%GENOME126416_2228,0.012249527,0.03344133,-0.038483392,-0.009401377,0.0044769254,0.010457689,0.0145174125,-0.023816783,-0.024475541,-0.02762686,0.028620252,-0.0065036635,-0.0175393,0.022275118,0.0061964164,-0.038643654,0.011366946,-0.021707213,0.018064084,0.0028026516,0.023263011,0.022675265,-0.029256787,0.0016417832,-0.03867399,-0.022824647,-0.0025240236,-0.020594086,-0.036874704,-0.030222211,0.027033335,0.046831086,-0.020595903,-0.017683454,-0.0051754005,-0.021902423,-0.01739696,-0.004850567,-0.029240413,0.0039819903,-0.021205818,-0.031924956,0.03991033,0.05440143
12aHSDH%GENOME136792_1072,0.046356723,-0.022336386,0.034762092,0.020428546,0.0048316517,-0.044462834,-0.026500046,-0.025757536,0.025741577,0.021799304,2.6947484e-05,-0.030806335,-0.03328257,-0.004605614,-0.016554736,0.024690421,-0.0066136546,0.027145065,-0.035474263,-0.021558914,-0.00503444,-0.008598547,-0.0044479305,-0.04422888,-0.025266586,0.027462961,0.014518516,0.012153371,-0.016924707,-0.028526748,-0.0070435815,-0.00745994,0.007638178,-0.019967074,-0.0017747718,0.024469327,0.03787368,-0.002604474,0.029091738,0.0448432,0.048486657,0.049583454,0.008516956,-0.019553812
12aHSDH%GENOME187328_883,0.0069284234,0.036283743,-0.09350224,0.049902283,-0.077930495,-0.04056788,-0.046424408,0.041116856,-0.057168484,-0.04266602,0.038178895,-0.03455022,-0.025254872,0.044905137,0.02203515,-0.03477658,-0.052982606,-0.07450534,-0.044418823,0.061191697,0.07761312,0.039691046,0.06447991,-0.018304637,0.033477064,-0.0033131426,-0.043667328,0.06891129,-0.054787546,-0.04819754,0.04550072,0.064669244,-0.059394855,0.0018306286,0.045932084,-0.039638806,-0.033447996,0.071894616,-0.063623875,-0.056622334,-0.0052279215,-0.06001812,0.030982228,0.013539847
12aHSDH%GENOME211747_1057,0.001411564,0.0028664,-0.01690083,-0.043726586,-0.013610086,0.02828448,-0.08153146,0.019310214,-0.027653862,-0.031095559,0.012024122,-0.015159936,0.014324509,0.016410885,0.018926853,0.031525005,0.020102652,-0.028758587,0.0074374718,-0.013170617,-0.033231284,-0.0011183023,0.021700172,0.0032384056,0.022621961,0.018713884,0.03703891,0.026584957,-0.02600266,-0.0043667317,-0.029093778,-0.01879051,-0.022886977,-0.052993122,-0.0086781075,0.027762976,0.039006904,0.0076146675,0.013959059,0.05861156,-0.0021630183,0.000988128,0.0019703498,0.0076137576
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.04427962,0.008462499,0.019037988,0.0027869106,0.03895354,0.007406362,0.0066352226,-0.05991123,0.019553434,0.023288343,-0.0014497394,-0.021718578,-0.018918047,-0.014280465,-0.015343998,-0.009643224,0.037680198,0.017890308,0.013408277,-0.019039707,0.023845397,-0.011134072,-0.009540516,0.04783045,-0.0030539047,-0.026513048,0.017087318,-0.008742218,-0.05093276,-0.05388716,-0.061964698,-0.076363094,0.038987897,0.021068834,-0.0095830355,0.022681477,0.012535637,0.015202271,-0.0046295538,-0.02565708,0.0069434796,0.01007086,-0.010366139,-0.00014180489
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.022654457,-0.06656589,0.08028606,-0.058616377,0.07174534,0.0088039115,0.019683952,-0.05411623,0.06927201,0.072407715,-0.04864943,0.03438033,0.04267471,-0.05074708,-0.0539441,-0.00017670367,0.062352702,0.048956916,0.050528362,-0.05803227,-0.053986225,-0.074669525,-0.030295305,0.06279756,-0.009884921,-0.0015690812,0.062153026,-0.07335961,0.05193109,0.04961194,0.0044163414,0.029584175,0.07037249,0.04646024,-0.07349406,0.023283983,-0.004769459,-0.07149723,0.030759936,1.5051291e-05,0.0040723793,0.037729107,-0.068670124,-0.0154597545
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.08809488,-0.059492264,0.05247138,-0.0569499,0.023323929,-0.028005088,0.044734817,-0.022010488,0.033154067,0.009194004,-0.08290188,0.078378126,0.07575604,0.014441201,-0.027107783,0.05603209,0.034318175,0.036903415,0.049120083,-0.03271153,-0.039200377,-0.04753488,-0.05715338,0.07042736,0.10754831,-0.066640645,0.03677076,-0.05270645,0.056489315,0.086060375,0.0029028086,-0.0036287145,0.06611691,0.047562547,-0.029805629,-0.016260171,-0.022484798,-0.04840948,-0.011674455,0.003313041,0.0006481963,0.013738795,-0.04896585,-0.024002286
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.05055131,0.01716346,-0.053480882,0.025131606,-0.011917751,0.022423798,-0.018039413,0.042423535,-0.057757195,-0.0744433,-0.008911062,-0.030586796,-0.023056135,-0.004037893,0.028140185,0.017576303,0.009283489,-0.016456282,0.035936777,0.024370952,0.030443799,0.00557644,0.051383004,0.019319503,0.044513516,-0.05322296,-0.012791945,0.017489856,-0.042196654,-0.019668233,-0.003830902,0.0025671464,-0.023308987,-0.009755835,0.02511318,-0.036403574,0.0025201407,-0.013758523,-0.036334198,-0.014151781,-0.015602563,-0.03916192,0.028980806,0.0006735686
