Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_CA,Ala_CDCA,Ala_DCA,Arg_CA,Arg_DCA,Asn_CA,Asn_CDCA,Asn_DCA,Asp_CA,Asp_CDCA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Gln_CDCA,Gln_UDCA,Glu_CA,Glu_CDCA,Glu_DCA,His_CA,His_CDCA,His_DCA,IleLeu_CA,LCA,Lys_CA,Lys_CDCA,Lys_DCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_CDCA,Tyr_UDCA,UDCA,Val_CA,Val_CDCA,Val_DCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA,isoalloLCA
12aHSDH%GENOME015584_936,-1.0,-1.0,1.0,1.0,-0.77822095,-1.0,1.0,-1.0,1.0,1.0,-0.53010166,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-0.80337363,-1.0,1.0,1.0,-0.00998412,-0.42790172,1.0,1.0,-1.0,1.0,-0.7510622,-1.0,0.28851518,-1.0,1.0,-1.0,1.0,1.0,0.9053608,-0.54541457,-0.46663934,-1.0,1.0,1.0,-0.47235408,-0.92010796,1.0,1.0,1.0,-1.0,1.0,-0.26737827,-1.0,0.85814023,-0.79824185,-1.0,0.52609724,-0.99905217,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
12aHSDH%GENOME077010_272,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.20615672,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74546367,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
12aHSDH%GENOME126416_2228,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.58281296,-1.0,-1.0,1.0,-0.5164203,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.5411098,-1.0,-1.0,0.88713807,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.66717327,-1.0,-1.0,-1.0,0.08450453,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.9028323,-1.0,-1.0,-0.24737637,-1.0,1.0,1.0,-1.0,1.0
12aHSDH%GENOME136792_1072,1.0,1.0,-0.4853194,-1.0,0.6794562,1.0,-1.0,-1.0,0.5098443,0.22859287,-0.40346563,0.017041553,-1.0,-0.5790654,-1.0,-0.5947927,0.965656,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.75310105,1.0,0.6629539,-1.0,1.0,1.0,1.0,1.0,0.95120645,1.0,-1.0,-0.06971373,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.34259593,-0.12618236,-1.0,-1.0,0.3881651,1.0,0.8926112,1.0,0.0197667,1.0,1.0,1.0,1.0,-1.0,1.0,-0.350446,1.0,1.0,1.0,1.0
12aHSDH%GENOME187328_883,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.18131326,1.0,1.0,1.0,1.0,1.0,0.08980489,1.0,1.0,0.5686215,1.0,1.0,0.5006905,0.31249723,1.0,1.0,0.618972,1.0,1.0,1.0,0.46127006,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.031443153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92701846,1.0,1.0,1.0,0.8997204,1.0,0.66525227,-1.0,1.0,-1.0
12aHSDH%GENOME211747_1057,-1.0,-0.7874189,-1.0,-0.33123392,-1.0,0.5095418,-1.0,-1.0,-1.0,0.04270978,-0.40480724,-1.0,-0.50620216,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.6064209,1.0,0.006556675,0.53772336,1.0,1.0,-0.11378816,-1.0,0.021224512,0.13220996,0.27691704,0.8557535,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.08299441,-1.0,-1.0,1.0,1.0,-1.0,0.5559799,1.0,1.0,-1.0,-0.6796571,-1.0,-0.47063693,-1.0,-1.0,-1.0,-1.0,1.0
12aHSDH%GENOME225739_454,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.38685197,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.50451314,1.0,1.0,0.80720544,0.5831814,1.0,1.0,-0.1569751,1.0,1.0,0.9737295,-1.0,1.0,1.0,-0.6619469,1.0,-1.0,1.0,-0.9747804,1.0,1.0,-0.93660146,1.0,1.0,-0.411391,1.0,1.0,-0.32808378,-0.90179616,1.0,1.0,1.0,0.35581645,1.0,0.67236865,0.56489223,1.0,1.0,-0.040262777,1.0,0.23036484,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1.0,1.0,0.63062924,1.0,1.0,1.0,0.31675532,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.9712205,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.31221992,-0.24584624,0.012301215,-0.71272886,1.0,1.0,-0.65903604,1.0,-1.0,-0.086952165,-1.0,1.0,-1.0,0.103516296,1.0,0.71573216,-1.0,-1.0,-1.0,-1.0,-1.0,0.98281485,0.43692166,0.29520997,0.58141017,-1.0,1.0,-0.41444442,-0.38984016,-0.3168918,1.0,0.1570097,-1.0,-0.047953777,-1.0,1.0,1.0,0.37995175,1.0
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.15113328,-1.0,1.0,1.0,1.0,1.0,1.0,-0.14698787,1.0,1.0,0.5534073,1.0,1.0,-1.0,1.0,1.0,-0.9512224,1.0,1.0,0.5941368,0.7219664,1.0,1.0,0.205911,0.49281767,1.0,1.0,-0.91491246,0.20104526,1.0,-1.0,1.0,-1.0,1.0,-0.9576223,1.0,1.0,0.2856472,1.0,1.0,-1.0,1.0,1.0,0.31904233,0.0458708,1.0,1.0,1.0,-0.3556976,1.0,-0.03979543,-0.82824373,1.0,1.0,-0.18429579,1.0,0.092266634,1.0,-1.0,1.0,-0.73321676,-1.0,1.0,-0.07021294
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.60822797,-0.67519665,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5611677,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.32081518,-1.0,-1.0,-1.0,-1.0,-0.31562388
