Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_CA,Ala_CDCA,Ala_DCA,Arg_CA,Arg_DCA,Asn_CA,Asn_CDCA,Asn_DCA,Asp_CA,Asp_CDCA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Gln_CDCA,Gln_UDCA,Glu_CA,Glu_CDCA,Glu_DCA,His_CA,His_CDCA,His_DCA,IleLeu_CA,LCA,Lys_CA,Lys_CDCA,Lys_DCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_CDCA,Tyr_UDCA,UDCA,Val_CA,Val_CDCA,Val_DCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA,isoalloLCA
12aHSDH%GENOME015584_936,-0.008323374,-0.0125830425,0.010672232,0.008828189,-0.0028886837,-0.00815475,0.010598425,-0.005028952,0.007394643,0.0048061544,-0.0019676879,0.007405101,0.009353955,-0.0064874715,0.0125292,0.007954562,-0.009863478,0.015091879,0.011073644,-0.002982048,-0.009655914,0.008997093,0.0050901566,-3.7060123e-05,-0.0015883313,0.006353989,0.0068535185,-0.0070173806,0.0038511462,-0.002787873,-0.0133275045,0.0010709414,-0.010756377,0.011274675,-0.009504419,0.009287614,0.010157734,0.0033606149,-0.002024528,-0.0017321217,-0.011029747,0.011350401,0.011035804,-0.0017533343,-0.003415355,0.007571772,0.01113875,0.01039537,-0.004556546,0.004951594,-0.0009924832,-0.0076381583,0.0031853365,-0.0029629993,-0.003725202,0.0019528238,-0.0037083884,0.007702334,-0.0088739805,0.009626512,-0.006974392,-0.011494538,0.006808481,-0.012444831
12aHSDH%GENOME077010_272,-0.012608486,-0.025727654,0.032047886,0.020839615,0.021480775,-0.005809681,0.031855725,-0.006846223,0.023910554,0.022660479,0.015862854,0.02268157,0.026203742,-0.0007652345,0.032181278,0.024785468,-0.013686302,0.02751072,0.025458694,-0.008169357,-0.019841291,0.021531342,0.015586865,0.004371306,-0.0038558007,0.03025464,0.02111176,-0.007969824,0.026627364,0.007938667,-0.00878045,0.031527456,-0.021648133,0.028903926,-0.0075808936,0.022966225,0.021852113,0.02042136,0.024416193,0.02018035,0.004117283,0.03379038,0.03196081,0.011934813,0.0088384375,0.029632596,0.029890068,0.025311498,0.0027670916,0.014817262,0.022268178,-0.007643791,0.031982973,0.02802434,0.011339574,0.0049808454,0.013500924,0.030493975,-0.007105979,0.033690147,-0.012019102,-0.030321123,0.020100148,-0.044825584
12aHSDH%GENOME126416_2228,0.0060272748,0.01210489,-0.018505616,-0.00799628,-0.010042745,0.0056008566,-0.020624235,0.01300235,-0.015635243,-0.014567851,-0.013475398,-0.014475658,-0.010183959,-0.0021633473,-0.01586833,-0.012259327,0.012026882,-0.001916904,-0.0059366943,0.015889563,0.011700031,-0.0037608421,-0.013283088,-0.008373581,0.0020085492,-0.025711946,-0.013353925,0.0032929739,-0.028251188,-0.016693138,-0.004008901,-0.027890045,0.011949905,-0.019757014,0.0050319014,-0.0120881125,-0.0089607155,-0.015914194,-0.019288806,-0.018131824,-0.012660279,-0.014734375,-0.01184777,0.004335663,-0.002476485,-0.021048412,-0.019278787,-0.008641619,0.00031367294,-0.010050813,-0.021357095,0.0052706883,-0.02659992,-0.029110668,-0.023179717,-0.0033512295,-0.012858777,-0.01270759,-0.000918238,-0.015781451,0.008306006,0.01676265,-0.012126301,0.028996516
12aHSDH%GENOME136792_1072,0.022388997,0.010708469,-0.0018014604,-0.004798038,0.0025220779,0.013264052,-0.005542511,-0.006133627,0.0018924945,0.0008485154,-0.0014976268,6.325665e-05,-0.009517815,-0.0021494366,-0.0071891416,-0.0022078152,0.003584425,-0.025116866,-0.019251414,-0.005318933,0.010553428,-0.012019469,0.004014951,-0.0027954408,0.012005214,0.0024608232,-0.009257333,0.0073380456,0.0063401354,0.015416138,0.015505464,0.0035307896,0.004104317,-0.013370696,-0.00025877086,-0.0113060335,-0.0135827195,-0.013590377,0.0052093305,0.01004591,0.015239185,-0.016888455,-0.019742968,-0.009857487,-0.0012716842,-0.00046837714,-0.005341883,-0.014532292,0.0014408326,0.0039722454,0.0033132895,0.0070636845,7.3372146e-05,0.00643536,0.014658148,0.011639715,0.0038930562,-0.011879116,0.007164169,-0.0013008228,0.011405128,0.013037677,0.005458741,0.018847933
12aHSDH%GENOME187328_883,0.0076669683,-0.0075337994,0.013041126,0.00917619,0.015541427,0.011684636,0.014463515,0.00067301793,0.012284357,0.012579415,0.011534317,0.01219115,0.008958049,0.00033334736,0.015722644,0.016778594,0.00211067,0.009539175,0.010155384,0.0018585165,0.0011599605,0.0070052976,0.010677849,0.0022975663,0.005602515,0.012690309,0.006116607,0.0017121915,0.013266426,0.007583727,0.009566615,0.014608519,-0.0047362144,0.007425908,0.004716411,0.0068814354,0.0062776213,-0.00011671405,0.017661287,0.014397996,0.010643759,0.006661808,0.0066266228,0.0044842716,0.0042438176,0.0061499383,0.012512145,0.012096992,0.006957935,0.009726299,0.012541793,0.010485418,0.013194843,0.012898657,0.0034410062,0.009695373,0.0056380634,0.012193595,0.003339678,0.013527285,0.0024693543,-0.0068398905,0.009846694,-0.008866056
12aHSDH%GENOME211747_1057,-0.021525202,-0.0029228255,-0.010210443,-0.0012295094,-0.006256455,0.0018913716,-0.006798661,-0.009164278,-0.0063090487,0.00015853472,-0.0015026067,-0.010214402,-0.0018789753,0.0046029766,-0.014186845,-0.009518854,-0.015201883,-0.021857386,-0.013751941,-0.010604649,0.008579841,-0.00701853,0.004646426,0.005802814,-0.0058945753,-0.0022509778,0.0093356455,2.4337765e-05,0.0019959789,0.014508477,0.005111171,-0.00042237103,-0.0068392525,7.878341e-05,0.000490751,0.0010278902,0.003176477,0.009614116,-0.008049376,0.0117253605,0.005253521,-0.014856402,-0.010744217,-0.017504621,-0.0053022504,0.0052455384,-0.0003080675,-0.005035618,-0.0070851217,0.007535743,0.0056864335,-0.0055497503,0.0020637456,0.009212398,0.016564546,-0.01297215,-0.0025228239,-0.013458675,-0.0017469604,-0.016182909,-0.019461732,-0.004303833,-0.012673087,0.009814485
12aHSDH%GENOME225739_454,0.011524491,-0.00969589,0.01697404,0.014907356,0.010141227,0.005631849,0.014830091,-0.0014359584,0.013818247,0.010876068,0.003884477,0.012991966,0.00814571,-0.006673285,0.019441491,0.018334903,0.0018727058,0.018954514,0.015731988,0.0029962712,0.002164715,0.011110277,0.0114421025,-0.00058267696,0.004564468,0.0100172255,0.003614393,-0.004354918,0.0069037755,0.0058410126,-0.002457085,0.00798325,-0.0060846186,0.007964853,-0.003618294,0.009460275,0.008286367,-0.0034765773,0.010358808,0.008567156,-0.001527045,0.013113149,0.010467683,-0.0012178164,-0.0033473833,0.006918614,0.013184659,0.0123181725,0.0013207574,0.010022466,0.0024957696,0.0020968274,0.008688674,0.0052752453,-0.00014945168,0.013157644,0.00085509283,0.010892703,-0.006999276,0.016021157,0.0046182345,-0.0063431896,0.013069452,-0.0038965887
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.023366794,0.00955193,0.002340837,0.010997386,0.004886055,0.00815792,0.0011757662,-0.005074844,0.010906679,0.009867886,0.005358933,0.006621084,-0.005437279,-0.005318763,0.0036050798,0.0059919655,0.0117637515,-0.0041764844,-0.0063091926,0.004209503,0.008069827,-0.009227029,0.013248823,0.0065780077,0.009743718,0.0011589312,-0.00091255835,4.5660963e-05,-0.0026455831,0.010956147,0.009985371,-0.0024462803,0.008330176,-0.007333174,-0.00032275834,-0.0039352486,0.0058526737,-0.008500433,0.00038424283,0.005721523,0.002656731,-0.008740835,-0.012459438,-0.010009232,-0.008530193,-0.008920172,0.003648117,0.0016218125,0.0010957919,0.0021581403,-0.009384546,0.009964956,-0.001538379,-0.0014470503,-0.0011762728,0.012497601,0.00058280537,-0.0075397748,-0.00017799994,-0.0038307114,0.013532068,0.011529518,0.0014103454,0.019353053
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.00056099263,-0.011803103,0.012354365,0.015214902,0.008292489,0.0041875453,0.010397957,-0.00054560526,0.012026273,0.010911558,0.0020541963,0.008622468,0.008201792,-0.0044088284,0.01426172,0.014373761,-0.003530849,0.014539332,0.013116289,0.0022053802,0.0026798719,0.00734007,0.011936448,0.0007643224,0.0018292932,0.0065302867,0.006650482,-0.0033960696,0.00074626127,0.0055930894,-0.0066909287,0.0039676116,-0.010001546,0.006317328,-0.0035546047,0.010311501,0.012389291,0.0010602959,0.0047935336,0.011711186,-0.0051086824,0.011737258,0.011033564,0.0011842554,0.00017026813,0.0069516925,0.012108202,0.011901549,-0.0013203163,0.009204494,-0.00014771691,-0.0030743636,0.0076065855,0.004918577,-0.0006840888,0.005012313,0.00034248515,0.007879839,-0.0111347055,0.010377165,-0.0027216321,-0.011051545,0.0064227427,-0.00026062387
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.058178388,-0.011223024,-0.02399529,-0.0095031755,-0.031779118,-0.020097723,-0.013256439,-0.0088334195,-0.018441841,-0.017439866,-0.020600855,-0.011140022,-0.009282848,0.006245009,-0.027021535,-0.031252805,-0.028344613,-0.01634899,-0.01717037,-0.013958615,-0.009259798,-0.01366654,-0.010035984,-0.004153917,-0.023070555,-0.014955529,0.0022576854,-0.002506267,-0.0071521895,-0.0054253475,-0.008647832,-0.019874107,-0.009865217,0.008366142,-0.0076048146,0.0041963817,0.0049376134,0.02612075,-0.037112445,-0.018288298,-0.018664662,-0.014725502,-0.007158308,-0.013346298,-0.0071167964,-0.0020830021,-0.007758907,-0.0043764357,-0.009335766,-0.009933044,-0.015598166,-0.024239933,-0.019426323,-0.022592843,-0.010871558,-0.034207955,-0.014831398,-0.017300477,-0.001190836,-0.02908154,-0.036296576,-0.008720042,-0.026119845,-0.0011715664
