,Cluster
3oxoDCA,0
3oxoLCA,1
7oxoDCA,2
Ala_CA,3
Ala_CDCA,2
Ala_DCA,0
Arg_CA,2
Arg_DCA,1
Asn_CA,2
Asn_CDCA,2
Asn_DCA,2
Asp_CA,2
Asp_CDCA,2
Asp_DCA,1
CA,2
CDCA,2
DCA,1
GCA,2
GCDCA,2
GDCA,1
GLCA,1
GUDCA,2
Gln_CA,3
Gln_CDCA,3
Gln_UDCA,0
Glu_CA,2
Glu_CDCA,3
Glu_DCA,1
His_CA,2
His_CDCA,3
His_DCA,0
IleLeu_CA,2
LCA,1
Lys_CA,2
Lys_CDCA,1
Lys_DCA,2
Met_CA,3
Met_CDCA,2
Phe_CA,2
Phe_CDCA,3
Phe_DCA,0
TCA,2
TCDCA,2
TDCA,2
TLCA,2
TUDCA,2
Thr_CA,2
Thr_CDCA,3
Thr_DCA,2
Trp_CA,2
Trp_CDCA,2
Trp_DCA,0
Tyr_CA,2
Tyr_CDCA,2
Tyr_UDCA,3
UDCA,0
Val_CA,2
Val_CDCA,2
Val_DCA,1
isoCA_aMCA,2
isoDCA_isoCDCA,1
isoLCA,1
isoUDCA,2
isoalloLCA,1
